student_id,parcel_id,student_name,grade,lon,lat
STU-0001,PAR-001,Liam Thomas,5,-78.961096,36.0217
STU-0002,PAR-002,Mia Smith,4,-78.954019,36.023434
STU-0003,PAR-003,Emma Smith,3,-78.962143,36.036715
STU-0004,PAR-003,Isla Brown,K,-78.962143,36.036715
STU-0005,PAR-004,Mia Lee,2,-78.957753,36.02547
STU-0006,PAR-005,Ava Thomas,3,-78.976138,36.031638
STU-0007,PAR-005,Mason Johnson,3,-78.976138,36.031638
STU-0008,PAR-006,Lucas Davis,1,-78.976794,36.029209
STU-0009,PAR-006,Liam Johnson,5,-78.976794,36.029209
STU-0010,PAR-007,Emma Brown,3,-78.972619,36.029103
STU-0011,PAR-007,Lucas Smith,2,-78.972619,36.029103
STU-0012,PAR-008,Isla Thomas,1,-78.969052,36.039765
STU-0013,PAR-008,Mason Thomas,1,-78.969052,36.039765
STU-0014,PAR-009,Lucas Lee,K,-78.974425,36.031625
STU-0015,PAR-009,Mia Lee,K,-78.974425,36.031625
STU-0016,PAR-010,Isla Thomas,2,-78.956459,36.032233
STU-0017,PAR-010,Mia Thomas,3,-78.956459,36.032233
STU-0018,PAR-010,Emma Thomas,3,-78.956459,36.032233
STU-0019,PAR-011,Isla Wilson,4,-78.975,36.02491
STU-0020,PAR-012,Ava Lee,K,-78.967817,36.027141
STU-0021,PAR-013,Emma Wilson,4,-78.97472,36.025479
STU-0022,PAR-013,Ethan Davis,2,-78.97472,36.025479
STU-0023,PAR-014,Mason Lee,2,-78.95181,36.045102
STU-0024,PAR-014,Lucas Johnson,2,-78.95181,36.045102
STU-0025,PAR-015,Mason Lee,1,-78.966827,36.033704
STU-0026,PAR-016,Mason Davis,1,-78.964785,36.02398
STU-0027,PAR-016,Noah Brown,1,-78.964785,36.02398
STU-0028,PAR-017,Ethan Johnson,K,-78.963897,36.042802
STU-0029,PAR-017,Lucas Lee,2,-78.963897,36.042802
STU-0030,PAR-018,Ethan Lee,K,-78.972295,36.027744
STU-0031,PAR-019,Mason Smith,2,-78.951616,36.035916
STU-0032,PAR-019,Mason Lee,4,-78.951616,36.035916
STU-0033,PAR-020,Sophia Wilson,5,-78.967152,36.02693
STU-0034,PAR-020,Lucas Wilson,4,-78.967152,36.02693
STU-0035,PAR-021,Mason Smith,4,-78.966358,36.027941
STU-0036,PAR-022,Ava Lee,2,-78.972834,36.022988
STU-0037,PAR-023,Noah Thomas,4,-78.977016,36.027664
STU-0038,PAR-024,Liam Thomas,3,-78.962866,36.027804
STU-0039,PAR-025,Liam Johnson,3,-78.96908,36.032511
STU-0040,PAR-026,Mason Wilson,1,-78.95861,36.043417
STU-0041,PAR-027,Mason Johnson,K,-78.967187,36.028799
STU-0042,PAR-028,Mia Smith,3,-78.96074,36.036136
STU-0043,PAR-028,Ethan Wilson,1,-78.96074,36.036136
STU-0044,PAR-028,Emma Johnson,1,-78.96074,36.036136
STU-0045,PAR-029,Mason Thomas,5,-78.968389,36.048589
STU-0046,PAR-030,Mason Johnson,5,-78.965373,36.026317
STU-0047,PAR-030,Lucas Johnson,K,-78.965373,36.026317
STU-0048,PAR-031,Mason Johnson,1,-78.962643,36.03508
STU-0049,PAR-032,Isla Smith,4,-78.977081,36.022903
STU-0050,PAR-033,Mason Brown,2,-78.962353,36.008343
STU-0051,PAR-033,Mia Thomas,5,-78.962353,36.008343
STU-0052,PAR-034,Ethan Brown,K,-78.970203,35.998437
STU-0053,PAR-034,Ava Wilson,4,-78.970203,35.998437
STU-0054,PAR-035,Sophia Smith,2,-78.951043,36.018891
STU-0055,PAR-036,Mason Thomas,2,-78.954336,36.01562
STU-0056,PAR-037,Mason Brown,5,-78.961873,36.018643
STU-0057,PAR-038,Mason Smith,2,-78.9761,36.015588
STU-0058,PAR-038,Sophia Davis,1,-78.9761,36.015588
STU-0059,PAR-039,Sophia Lee,K,-78.958907,35.996701
STU-0060,PAR-040,Noah Thomas,2,-78.976416,36.00286
STU-0061,PAR-041,Liam Johnson,5,-78.974476,36.003371
STU-0062,PAR-041,Noah Davis,K,-78.974476,36.003371
STU-0063,PAR-042,Sophia Brown,K,-78.955631,36.00731
STU-0064,PAR-043,Mason Lee,3,-78.95383,35.996882
STU-0065,PAR-044,Noah Wilson,K,-78.951733,36.011985
STU-0066,PAR-044,Noah Thomas,2,-78.951733,36.011985
STU-0067,PAR-044,Emma Lee,5,-78.951733,36.011985
STU-0068,PAR-045,Liam Wilson,K,-78.954806,36.013701
STU-0069,PAR-045,Ethan Smith,1,-78.954806,36.013701
STU-0070,PAR-046,Mia Wilson,2,-78.956136,36.003888
STU-0071,PAR-047,Mason Wilson,5,-78.971199,35.992944
STU-0072,PAR-048,Sophia Smith,4,-78.951528,36.006014
STU-0073,PAR-048,Sophia Johnson,K,-78.951528,36.006014
STU-0074,PAR-049,Mason Johnson,3,-78.962296,36.000679
STU-0075,PAR-050,Mason Lee,4,-78.953814,35.996322
STU-0076,PAR-051,Emma Johnson,5,-78.959768,36.017327
STU-0077,PAR-052,Sophia Davis,2,-78.953218,36.008448
STU-0078,PAR-052,Emma Brown,3,-78.953218,36.008448
STU-0079,PAR-053,Emma Thomas,5,-78.959478,36.006524
STU-0080,PAR-053,Noah Davis,4,-78.959478,36.006524
STU-0081,PAR-054,Emma Lee,4,-78.970573,36.006342
STU-0082,PAR-055,Mason Wilson,5,-78.932013,36.030023
STU-0083,PAR-055,Noah Thomas,K,-78.932013,36.030023
STU-0084,PAR-056,Mia Thomas,2,-78.941054,36.039588
STU-0085,PAR-057,Ethan Davis,K,-78.94271,36.026576
STU-0086,PAR-058,Emma Wilson,3,-78.936248,36.045812
STU-0087,PAR-058,Mia Smith,5,-78.936248,36.045812
STU-0088,PAR-059,Mia Smith,5,-78.929747,36.045994
STU-0089,PAR-059,Mason Wilson,K,-78.929747,36.045994
STU-0090,PAR-060,Ethan Thomas,4,-78.933393,36.046689
STU-0091,PAR-061,Mason Wilson,4,-78.921339,36.037673
STU-0092,PAR-061,Ethan Smith,5,-78.921339,36.037673
STU-0093,PAR-062,Sophia Lee,4,-78.924878,36.033602
STU-0094,PAR-062,Ethan Thomas,1,-78.924878,36.033602
STU-0095,PAR-063,Lucas Davis,K,-78.941311,36.02317
STU-0096,PAR-064,Liam Wilson,3,-78.945126,36.027475
STU-0097,PAR-064,Lucas Davis,3,-78.945126,36.027475
STU-0098,PAR-065,Isla Thomas,K,-78.937358,36.026791
STU-0099,PAR-065,Isla Wilson,3,-78.937358,36.026791
STU-0100,PAR-065,Ava Brown,2,-78.937358,36.026791
STU-0101,PAR-066,Mason Lee,4,-78.927903,36.044897
STU-0102,PAR-067,Emma Brown,5,-78.923861,36.03467
STU-0103,PAR-068,Isla Davis,K,-78.929984,36.032321
STU-0104,PAR-068,Emma Davis,4,-78.929984,36.032321
STU-0105,PAR-068,Ava Johnson,5,-78.929984,36.032321
STU-0106,PAR-069,Lucas Smith,3,-78.936999,36.045272
STU-0107,PAR-070,Emma Brown,K,-78.939848,36.042314
STU-0108,PAR-070,Ethan Johnson,5,-78.939848,36.042314
STU-0109,PAR-071,Ava Lee,K,-78.933896,36.048997
STU-0110,PAR-071,Mia Smith,K,-78.933896,36.048997
STU-0111,PAR-072,Mia Wilson,5,-78.931603,36.027679
STU-0112,PAR-073,Liam Lee,1,-78.941825,36.031329
STU-0113,PAR-073,Sophia Johnson,4,-78.941825,36.031329
STU-0114,PAR-073,Ava Brown,4,-78.941825,36.031329
STU-0115,PAR-074,Isla Thomas,5,-78.930034,36.047829
STU-0116,PAR-075,Liam Lee,4,-78.9422,36.040521
STU-0117,PAR-075,Ava Brown,4,-78.9422,36.040521
STU-0118,PAR-076,Emma Lee,3,-78.937005,36.031376
STU-0119,PAR-077,Emma Smith,5,-78.946045,36.047902
STU-0120,PAR-077,Mason Thomas,2,-78.946045,36.047902
STU-0121,PAR-078,Isla Brown,2,-78.931754,36.046749
STU-0122,PAR-079,Mia Lee,3,-78.925152,36.04426
STU-0123,PAR-079,Isla Davis,5,-78.925152,36.04426
STU-0124,PAR-080,Mia Brown,2,-78.938388,36.021804
STU-0125,PAR-081,Mason Smith,K,-78.939471,36.045649
STU-0126,PAR-081,Mia Thomas,3,-78.939471,36.045649
STU-0127,PAR-082,Ethan Wilson,K,-78.93532,36.042229
STU-0128,PAR-082,Liam Brown,1,-78.93532,36.042229
STU-0129,PAR-083,Mason Davis,2,-78.937677,36.027813
STU-0130,PAR-084,Sophia Brown,2,-78.937086,36.041886
STU-0131,PAR-084,Mia Johnson,5,-78.937086,36.041886
STU-0132,PAR-085,Mia Thomas,3,-78.943608,36.024348
STU-0133,PAR-086,Liam Lee,1,-78.941258,36.037508
STU-0134,PAR-086,Sophia Smith,2,-78.941258,36.037508
STU-0135,PAR-087,Ava Davis,2,-78.943976,36.021396
STU-0136,PAR-088,Ava Davis,2,-78.929472,36.024536
STU-0137,PAR-089,Ethan Johnson,K,-78.935857,36.033333
STU-0138,PAR-090,Noah Lee,4,-78.93778,36.023074
STU-0139,PAR-091,Emma Davis,4,-78.922424,36.023385
STU-0140,PAR-091,Isla Smith,4,-78.922424,36.023385
STU-0141,PAR-092,Sophia Davis,4,-78.938349,36.046438
STU-0142,PAR-092,Ava Davis,5,-78.938349,36.046438
STU-0143,PAR-092,Liam Lee,1,-78.938349,36.046438
STU-0144,PAR-093,Mason Johnson,1,-78.931486,36.02841
STU-0145,PAR-094,Mia Brown,5,-78.948925,36.033614
STU-0146,PAR-095,Sophia Lee,5,-78.941084,36.015069
STU-0147,PAR-096,Mia Thomas,1,-78.932486,36.013509
STU-0148,PAR-097,Sophia Davis,5,-78.923564,36.014146
STU-0149,PAR-098,Sophia Thomas,3,-78.925921,36.016793
STU-0150,PAR-099,Ava Wilson,5,-78.922605,36.005013
