student_id,parcel_id,student_name,grade,lon,lat,planning_unit_id,name,expected_growth_pct,boundary_id,school_id,school_name
STU-0001,PAR-001,Liam Thomas,5,-78.961096,36.0217,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0002,PAR-002,Mia Smith,4,-78.954019,36.023434,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0003,PAR-003,Emma Smith,3,-78.962143,36.036715,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0004,PAR-003,Isla Brown,K,-78.962143,36.036715,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0005,PAR-004,Mia Lee,2,-78.957753,36.02547,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0006,PAR-005,Ava Thomas,3,-78.976138,36.031638,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0007,PAR-005,Mason Johnson,3,-78.976138,36.031638,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0008,PAR-006,Lucas Davis,1,-78.976794,36.029209,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0009,PAR-006,Liam Johnson,5,-78.976794,36.029209,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0010,PAR-007,Emma Brown,3,-78.972619,36.029103,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0011,PAR-007,Lucas Smith,2,-78.972619,36.029103,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0012,PAR-008,Isla Thomas,1,-78.969052,36.039765,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0013,PAR-008,Mason Thomas,1,-78.969052,36.039765,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0014,PAR-009,Lucas Lee,K,-78.974425,36.031625,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0015,PAR-009,Mia Lee,K,-78.974425,36.031625,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0016,PAR-010,Isla Thomas,2,-78.956459,36.032233,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0017,PAR-010,Mia Thomas,3,-78.956459,36.032233,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0018,PAR-010,Emma Thomas,3,-78.956459,36.032233,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0019,PAR-011,Isla Wilson,4,-78.975,36.02491,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0020,PAR-012,Ava Lee,K,-78.967817,36.027141,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0021,PAR-013,Emma Wilson,4,-78.97472,36.025479,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0022,PAR-013,Ethan Davis,2,-78.97472,36.025479,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0023,PAR-014,Mason Lee,2,-78.95181,36.045102,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0024,PAR-014,Lucas Johnson,2,-78.95181,36.045102,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0025,PAR-015,Mason Lee,1,-78.966827,36.033704,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0026,PAR-016,Mason Davis,1,-78.964785,36.02398,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0027,PAR-016,Noah Brown,1,-78.964785,36.02398,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0028,PAR-017,Ethan Johnson,K,-78.963897,36.042802,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0029,PAR-017,Lucas Lee,2,-78.963897,36.042802,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0030,PAR-018,Ethan Lee,K,-78.972295,36.027744,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0031,PAR-019,Mason Smith,2,-78.951616,36.035916,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0032,PAR-019,Mason Lee,4,-78.951616,36.035916,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0033,PAR-020,Sophia Wilson,5,-78.967152,36.02693,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
STU-0034,PAR-020,Lucas Wilson,4,-78.967152,36.02693,PU-101,Northwest Growth Area,7.5,B-1,SCH-01,Riverdale Elementary
